COMMON_NAME_traits,SCIENTIFIC_NAME_traits,range_size
Albert's Lyrebird,Menura_alberti,12
Apostlebird,Struthidea_cinerea,"2,296"
Arctic Jaeger,Stercorarius_parasiticus,NA
Asian Dowitcher,Limnodromus_semipalmatus,NA
Atherton Scrubwren,Sericornis_keri,8
Australasian Bittern,Botaurus_poiciloptilus,691
Australasian Darter,Anhinga_novaehollandiae,"4,838"
Australasian Figbird,Sphecotheres_vieilloti,797
Australasian Gannet,Morus_serrator,NA
Australasian Grebe,Tachybaptus_novaehollandiae,"6,498"
Australasian Pipit,Anthus_novaeseelandiae,"7,755"
Australasian Shoveler,Spatula_rhynchotis,"1,887"
Australian Brush-turkey,Alectura_lathami,602
Australian Bustard,Ardeotis_australis,"7,049"
Australian Hobby,Falco_longipennis,"7,743"
Australian King-Parrot,Alisterus_scapularis,574
Australian Logrunner,Orthonyx_temminckii,85
Australian Magpie,Gymnorhina_tibicen,"6,123"
Australian Owlet-nightjar,Aegotheles_cristatus,"7,705"
Australian Painted Snipe,Rostratula_australis,"5,651"
Australian Pelican,Pelecanus_conspicillatus,"5,716"
Australian Pied Oystercatcher,Haematopus_longirostris,NA
Australian Pratincole,Stiltia_isabella,"4,845"
Australian Raven,Corvus_coronoides,"4,475"
Australian Reed-Warbler,Acrocephalus_australis,"4,976"
Australian Ringneck,Barnardius_zonarius,"4,832"
Australian Shelduck,Tadorna_tadornoides,"2,145"
Australian Spotted Crake,Porzana_fluminea,"4,695"
Australian Swiftlet,Aerodramus_terraereginae,NA
Australian White Ibis,Threskiornis_moluccus,"5,411"
Australian Wood Duck,Chenonetta_jubata,"4,938"
Azure Kingfisher,Ceyx_azureus,"1,718"
Baillon's Crake,Zapornia_pusilla,788
Banded Honeyeater,Cissomela_pectoralis,"1,195"
Banded Lapwing,Vanellus_tricolor,"5,393"
Banded Stilt,Cladorhynchus_leucocephalus,966
Banded Whiteface,Aphelocephala_nigricincta,"1,447"
Bar-breasted Honeyeater,Ramsayornis_fasciatus,963
Barking Owl,Ninox_connivens,"3,401"
Barn Owl,Tyto_alba,"7,674"
Barn Swallow,Hirundo_rustica,NA
Barred Cuckoo-shrike,Coracina_lineata,74
Bar-shouldered Dove,Geopelia_humeralis,"2,152"
Bar-tailed Godwit,Limosa_lapponica,NA
Bassian Thrush,Zoothera_lunulata,326
Baudin's Black-Cockatoo,Zanda_baudinii,50
Beach Stone-curlew,Esacus_giganteus,NA
Beautiful Firetail,Stagonopleura_bella,149
Bell Miner,Manorina_melanophrys,189
Black Bittern,Ixobrychus_flavicollis,"1,549"
Black Butcherbird,Melloria_quoyi,211
Black Currawong,Strepera_fuliginosa,70
Black Falcon,Falco_subniger,"4,842"
Black Honeyeater,Sugomel_niger,"5,225"
Black Kite,Milvus_migrans,"5,317"
Black Noddy,Anous_minutus,NA
Black Swan,Cygnus_atratus,"4,843"
Black-backed Butcherbird,Cracticus_mentalis,134
Black-breasted Button-quail,Turnix_melanogaster,70
Black-breasted Buzzard,Hamirostra_melanosternon,"4,629"
Black-chinned Honeyeater,Melithreptus_gularis,"3,870"
Black-eared Cuckoo,Chalcites_osculans,"7,183"
Black-faced Cormorant,Phalacrocorax_fuscescens,NA
Black-faced Cuckoo-shrike,Coracina_novaehollandiae,"7,756"
Black-faced Monarch,Monarcha_melanopsis,302
Black-faced Woodswallow,Artamus_cinereus,"7,212"
Black-fronted Dotterel,Elseyornis_melanops,"7,741"
Black-naped Tern,Sterna_sumatrana,NA
Black-shouldered Kite,Elanus_axillaris,"7,640"
Black-tailed Godwit,Limosa_limosa,"2,260"
Black-tailed Native-hen,Tribonyx_ventralis,"5,832"
Black-tailed Treecreeper,Climacteris_melanura,"1,058"
Black-throated Finch,Poephila_cincta,363
Black-winged Monarch,Monarcha_frater,35
Black-winged Stilt,Himantopus_leucocephalus,"6,334"
Blue Bonnet,Northiella_haematogaster,"1,473"
Blue-billed Duck,Oxyura_australis,"1,263"
Blue-breasted Fairy-wren,Malurus_pulcherrimus,414
Blue-faced Honeyeater,Entomyzon_cyanotis,"2,425"
Blue-faced Parrot-Finch,Erythrura_trichroa,5
Blue-winged Kookaburra,Dacelo_leachii,"2,119"
Blue-winged Parrot,Neophema_chrysostoma,546
Bourke's Parrot,Neopsephotus_bourkii,"2,454"
Bower's Shrike-thrush,Colluricincla_boweri,11
Brahminy Kite,Haliastur_indus,471
Bridled Honeyeater,Bolemoreus_frenatus,22
Bridled Tern,Onychoprion_anaethetus,NA
Broad-billed Flycatcher,Myiagra_ruficollis,NA
Broad-billed Sandpiper,Calidris_falcinellus,NA
Brolga,Antigone_rubicunda,"3,376"
Brown Cuckoo-Dove,Macropygia_phasianella,242
Brown Falcon,Falco_berigora,"7,755"
Brown Gerygone,Gerygone_mouki,207
Brown Goshawk,Accipiter_fasciatus,"7,755"
Brown Honeyeater,Lichmera_indistincta,"5,254"
Brown Quail,Synoicus_ypsilophora,"4,504"
Brown Songlark,Cincloramphus_cruralis,"6,840"
Brown Thornbill,Acanthiza_pusilla,552
Brown Treecreeper,Climacteris_picumnus,"2,125"
Brown-backed Honeyeater,Ramsayornis_modestus,169
Brown-capped Emerald Dove,Chalcophaps_longirostris,441
Brown-headed Honeyeater,Melithreptus_brevirostris,"1,696"
Brush Bronzewing,Phaps_elegans,515
Brush Cuckoo,Cacomantis_variolosus,"1,399"
Budgerigar,Melopsittacus_undulatus,"6,784"
Buff-banded Rail,Hypotaenidia_philippensis,"2,602"
Buff-breasted Paradise-Kingfisher,Tanysiptera_sylvia,45
Buff-rumped Thornbill,Acanthiza_reguloides,"1,010"
Buff-sided Robin,Poecilodryas_cerviniventris,425
Bush Stone-curlew,Burhinus_grallarius,"5,328"
Cape Barren Goose,Cereopsis_novaehollandiae,77
Caspian Tern,Hydroprogne_caspia,NA
Cattle Egret,Bubulcus_ibis,"1,402"
Channel-billed Cuckoo,Scythrops_novaehollandiae,"1,576"
Chestnut Quail-thrush,Cinclosoma_castanotus,"1,468"
Chestnut Teal,Anas_castanea,"1,162"
Chestnut-breasted Cuckoo,Cacomantis_castaneiventris,62
Chestnut-breasted Mannikin,Lonchura_castaneothorax,"1,141"
Chestnut-crowned Babbler,Pomatostomus_ruficeps,839
Chestnut-rumped Heathwren,Calamanthus_pyrrhopygia,316
Chestnut-rumped Thornbill,Acanthiza_uropygialis,"4,142"
Chiming Wedgebill,Psophodes_occidentalis,"1,714"
Chirruping Wedgebill,Psophodes_cristatus,618
Chowchilla,Orthonyx_spaldingii,20
Cicadabird,Edolisoma_tenuirostris,749
Cinnamon Quail-thrush,Cinclosoma_cinnamomeum,994
Cockatiel,Nymphicus_hollandicus,"6,881"
Coconut Lorikeet,Trichoglossus_haematodus,NA
Collared Kingfisher,Todiramphus_chloris,NA
Collared Sparrowhawk,Accipiter_cirrocephalus,"7,748"
Comb-crested Jacana,Irediparra_gallinacea,"1,185"
Common Bronzewing,Phaps_chalcoptera,"7,723"
Common Greenshank,Tringa_nebularia,"5,029"
Common Gull-billed Tern,Gelochelidon_nilotica,"4,899"
Common Noddy,Anous_stolidus,NA
Common Sandpiper,Actitis_hypoleucos,NA
Common Tern,Sterna_hirundo,NA
Cotton Pygmy-goose,Nettapus_coromandelianus,384
Crescent Honeyeater,Phylidonyris_pyrrhopterus,214
Crested Bellbird,Oreoica_gutturalis,"5,717"
Crested Pigeon,Ocyphaps_lophotes,"7,288"
Crested Shrike-tit,Falcunculus_frontatus,"1,242"
Crimson Chat,Epthianura_tricolor,"5,256"
Crimson Finch,Neochmia_phaeton,729
Crimson Rosella,Platycercus_elegans,625
Curlew Sandpiper,Calidris_ferruginea,NA
Diamond Dove,Geopelia_cuneata,"5,906"
Diamond Firetail,Stagonopleura_guttata,727
Dollarbird,Eurystomus_orientalis,"2,088"
Double-banded Plover,Charadrius_bicinctus,NA
Double-barred Finch,Taeniopygia_bichenovii,"2,466"
Double-eyed Fig-Parrot,Cyclopsitta_diophthalma,58
Dusky Gerygone,Gerygone_tenebrosa,NA
Dusky Grasswren,Amytornis_purnelli,366
Dusky Honeyeater,Myzomela_obscura,478
Dusky Moorhen,Gallinula_tenebrosa,"1,392"
Dusky Robin,Melanodryas_vittata,71
Dusky Woodswallow,Artamus_cyanopterus,"1,666"
Eastern Bristlebird,Dasyornis_brachypterus,3
Eastern Curlew,Numenius_madagascariensis,NA
Eastern Grass Owl,Tyto_longimembris,"1,089"
Eastern Koel,Eudynamys_orientalis,"1,314"
Eastern Reef Egret,Egretta_sacra,NA
Eastern Rosella,Platycercus_eximius,695
Eastern Spinebill,Acanthorhynchus_tenuirostris,569
Eastern Whipbird,Psophodes_olivaceus,324
Eastern Yellow Robin,Eopsaltria_australis,850
Eclectus Parrot,Eclectus_roratus,3
Elegant Parrot,Neophema_elegans,394
Emu,Dromaius_novaehollandiae,"7,605"
Eurasian Coot,Fulica_atra,"5,648"
Fairy Gerygone,Gerygone_palpebrosa,262
Fairy Martin,Petrochelidon_ariel,"6,782"
Fairy Tern,Sternula_nereis,NA
Fan-tailed Cuckoo,Cacomantis_flabelliformis,"1,359"
Fernwren,Oreoscopus_gutturalis,22
Flame Robin,Petroica_phoenicea,548
Flock Bronzewing,Phaps_histrionica,"2,687"
Forest Kingfisher,Todiramphus_macleayii,935
Forest Raven,Corvus_tasmanicus,142
Fork-tailed Swift,Apus_pacificus,"5,952"
Forty-spotted Pardalote,Pardalotus_quadragintus,2
Freckled Duck,Stictonetta_naevosa,"1,844"
Frilled Monarch,Arses_telescopthalmus,NA
Fuscous Honeyeater,Ptilotula_fuscus,593
Galah,Eolophus_roseicapillus,"7,668"
Gang-gang Cockatoo,Callocephalon_fimbriatum,202
Gilbert's Whistler,Pachycephala_inornata,834
Glossy Black-Cockatoo,Calyptorhynchus_lathami,451
Glossy Ibis,Plegadis_falcinellus,"4,316"
Golden Bowerbird,Amblyornis_newtonianus,22
Golden Whistler,Pachycephala_pectoralis,"1,392"
Golden-headed Cisticola,Cisticola_exilis,"2,616"
Gouldian Finch,Chloebia_gouldiae,634
Graceful Honeyeater,Meliphaga_gracilis,123
Great Bowerbird,Ptilonorhynchus_nuchalis,"1,356"
Great Cormorant,Phalacrocorax_carbo,"4,271"
Great Crested Grebe,Podiceps_cristatus,"2,529"
Great Egret,Ardea_alba,"5,670"
Great Knot,Calidris_tenuirostris,NA
Great-billed Heron,Ardea_sumatrana,NA
Greater Sand Plover,Charadrius_leschenaultii,NA
Greater Sooty Owl,Tyto_tenebricosa,159
Green Catbird,Ailuroedus_crassirostris,108
Green Pygmy-goose,Nettapus_pulchellus,"1,068"
Green Rosella,Platycercus_caledonicus,71
Green-backed Gerygone,Gerygone_chloronota,359
Grey Butcherbird,Cracticus_torquatus,"5,650"
Grey Currawong,Strepera_versicolor,"1,133"
Grey Fantail,Rhipidura_fuliginosa,"6,389"
Grey Goshawk,Accipiter_novaehollandiae,761
Grey Plover,Pluvialis_squatarola,NA
Grey Shrike-thrush,Colluricincla_harmonica,"7,752"
Grey Teal,Anas_gracilis,"6,812"
Grey Whistler,Pachycephala_simplex,162
Grey-crowned Babbler,Pomatostomus_temporalis,"4,489"
Grey-fronted Honeyeater,Ptilotula_plumulus,"4,448"
Grey-headed Honeyeater,Ptilotula_keartlandi,"2,012"
Grey-headed Robin,Heteromyias_albispecularis,23
Grey-tailed Tattler,Tringa_brevipes,NA
Ground Cuckoo-shrike,Coracina_maxima,"6,338"
Ground Parrot,Pezoporus_wallicus,73
Hardhead,Aythya_australis,"6,163"
Helmeted Friarbird,Philemon_buceroides,306
Hoary-headed Grebe,Poliocephalus_poliocephalus,"7,284"
Hooded Parrot,Psephotellus_dissimilis,99
Hooded Plover,Thinornis_cucullatus,NA
Hooded Robin,Melanodryas_cucullata,"6,986"
Horsfield's Bronze-Cuckoo,Chalcites_basalis,"7,752"
Horsfield's Bushlark,Mirafra_javanica,"5,212"
Inland Thornbill,Acanthiza_apicalis,"4,299"
Intermediate Egret,Ardea_intermedia,"3,449"
Jacky Winter,Microeca_fascinans,"5,568"
Kelp Gull,Larus_dominicanus,NA
King Quail,Synoicus_chinensis,635
Large-billed Gerygone,Gerygone_magnirostris,NA
Large-billed Scrubwren,Sericornis_magnirostris,210
Large-tailed Nightjar,Caprimulgus_macrurus,374
Latham's Snipe,Gallinago_hardwickii,"1,074"
Laughing Kookaburra,Dacelo_novaeguineae,"2,060"
Leaden Flycatcher,Myiagra_rubecula,"1,736"
Lemon-bellied Flycatcher,Microeca_flavigaster,673
Lesser Crested Tern,Thalasseus_bengalensis,NA
Lesser Sand Plover,Charadrius_mongolus,NA
Lewin's Honeyeater,Meliphaga_lewinii,437
Lewin's Rail,Lewinia_pectoralis,347
Little Black Cormorant,Phalacrocorax_sulcirostris,"5,136"
Little Bronze-Cuckoo,Chalcites_minutillus,834
Little Button-quail,Turnix_velox,"6,894"
Little Corella,Cacatua_sanguinea,"6,282"
Little Crow,Corvus_bennetti,"5,037"
Little Curlew,Numenius_minutus,"1,644"
Little Eagle,Hieraaetus_morphnoides,"7,678"
Little Egret,Egretta_garzetta,NA
Little Friarbird,Philemon_citreogularis,"3,199"
Little Grassbird,Poodytes_gramineus,"3,639"
Little Kingfisher,Ceyx_pusilla,NA
Little Lorikeet,Glossopsitta_pusilla,592
Little Pied Cormorant,Microcarbo_melanoleucos,"5,654"
Little Raven,Corvus_mellori,926
Little Shrike-thrush,Colluricincla_megarhyncha,547
Little Tern,Sternula_albifrons,NA
Little Wattlebird,Anthochaera_chrysoptera,383
Little Woodswallow,Artamus_minor,"4,794"
Long-billed Corella,Cacatua_tenuirostris,173
Long-tailed Finch,Poephila_acuticauda,806
Long-toed Stint,Calidris_subminuta,"4,172"
Lovely Fairy-wren,Malurus_amabilis,93
Macleay's Honeyeater,Xanthotis_macleayana,32
Magnificent Riflebird,Lophorina_magnificus,53
Magpie Goose,Anseranas_semipalmata,"1,577"
Magpie-lark,Grallina_cyanoleuca,"6,547"
Major Mitchell's Cockatoo,Cacatua_leadbeateri,"3,487"
Mallee Emu-wren,Stipiturus_mallee,21
Mangrove Gerygone,Gerygone_levigaster,NA
